Group Starts,Avg - Delay (Peace Arch North Cars),Sum - Volume (Peace Arch North Cars),Avg - Delay (Peace Arch North NEXUS),Sum - Volume (Peace Arch North NEXUS)
2018-01-01 00:00:00,14.8,2659.0,2.1,2196.0
2018-01-02 00:00:00,8.9,1137.0,1.8,1416.0
2018-01-03 00:00:00,4.3,2026.0,0.7,2388.0
2018-01-04 00:00:00,5.7,1448.0,0.6,1309.0
2018-01-05 00:00:00,5.2,2744.0,0.8,3012.0
2018-01-06 00:00:00,8.6,3019.0,1.7,3317.0
2018-01-07 00:00:00,6.4,2707.0,0.5,2827.0
2018-01-08 00:00:00,0.8,2138.0,0.4,2691.0
2018-01-09 00:00:00,0.4,1964.0,0.3,2655.0
2018-01-10 00:00:00,4.3,2091.0,1.5,2685.0
2018-01-11 00:00:00,3.6,2209.0,0.7,2723.0
2018-01-12 00:00:00,12.4,2932.0,1.4,3003.0
2018-01-13 00:00:00,7.7,3436.0,2.2,3490.0
2018-01-14 00:00:00,11.1,2739.0,1.3,3349.0
2018-01-15 00:00:00,3.8,3000.0,0.6,1906.0
2018-01-16 00:00:00,1.4,3980.0,0.4,736.0
2018-01-17 00:00:00,3.0,1999.0,1.0,2625.0
2018-01-18 00:00:00,1.4,2244.0,0.1,2833.0
2018-01-19 00:00:00,3.4,2823.0,0.5,2958.0
2018-01-20 00:00:00,9.3,2915.0,2.6,3339.0
2018-01-21 00:00:00,4.8,2608.0,1.3,2940.0
2018-01-22 00:00:00,2.7,2147.0,0.5,2871.0
2018-01-23 00:00:00,2.0,1773.0,0.3,2541.0
2018-01-24 00:00:00,3.4,1870.0,0.5,2698.0
2018-01-25 00:00:00,2.3,2239.0,0.2,2889.0
2018-01-26 00:00:00,0.1,2538.0,1.2,3275.0
2018-01-27 00:00:00,7.8,3186.0,1.5,3471.0
2018-01-28 00:00:00,7.2,2775.0,1.6,3179.0
2018-01-29 00:00:00,3.7,2232.0,0.7,2881.0
2018-01-30 00:00:00,0.0,1809.0,0.2,2864.0
2018-01-31 00:00:00,5.7,1984.0,1.6,2789.0
2018-02-01 00:00:00,3.3,2332.0,0.5,2950.0
2018-02-02 00:00:00,10.1,2852.0,2.5,3054.0
2018-02-03 00:00:00,13.4,2773.0,3.1,3569.0
2018-02-04 00:00:00,7.0,2628.0,1.2,2931.0
2018-02-05 00:00:00,6.7,2063.0,0.4,2951.0
2018-02-06 00:00:00,2.0,2003.0,0.7,2646.0
2018-02-07 00:00:00,4.8,1906.0,0.0,2764.0
2018-02-08 00:00:00,8.8,1989.0,1.1,2804.0
2018-02-09 00:00:00,11.6,2768.0,1.5,3017.0
2018-02-10 00:00:00,17.3,3025.0,2.8,3224.0
2018-02-11 00:00:00,34.3,2985.0,4.6,3275.0
2018-02-12 00:00:00,56.0,3202.0,12.7,3798.0
2018-02-13 00:00:00,4.7,2682.0,1.2,3090.0
2018-02-14 00:00:00,1.8,2180.0,0.0,2589.0
2018-02-15 00:00:00,6.1,2744.0,1.0,3002.0
2018-02-16 00:00:00,32.2,3077.0,3.9,3214.0
2018-02-17 00:00:00,64.4,3096.0,5.6,3111.0
2018-02-18 00:00:00,33.7,2775.0,4.7,2760.0
2018-02-19 00:00:00,4.7,2753.0,0.5,2793.0
2018-02-20 00:00:00,3.9,2351.0,1.4,2957.0
2018-02-21 00:00:00,2.7,2169.0,0.2,2564.0
2018-02-22 00:00:00,9.1,2282.0,1.1,2769.0
2018-02-23 00:00:00,10.8,2038.0,0.5,1764.0
2018-02-24 00:00:00,7.9,2331.0,0.9,2384.0
2018-02-25 00:00:00,4.6,1918.0,0.9,2347.0
2018-02-26 00:00:00,3.0,2268.0,2.0,3095.0
2018-02-27 00:00:00,0.3,829.0,0.2,1133.0
2018-02-28 00:00:00,3.4,2301.0,0.3,3010.0
2018-03-01 00:00:00,0.0,232.0,,5.0
2018-03-02 00:00:00,,,,
2018-03-03 00:00:00,,,,
2018-03-04 00:00:00,32.2,2139.0,6.3,2368.0
2018-03-05 00:00:00,2.3,2478.0,0.6,3034.0
2018-03-06 00:00:00,2.2,2185.0,0.4,3008.0
2018-03-07 00:00:00,1.9,2433.0,0.6,3260.0
2018-03-08 00:00:00,5.3,2469.0,1.3,2981.0
2018-03-09 00:00:00,10.1,3180.0,2.6,3507.0
2018-03-10 00:00:00,23.3,3248.0,5.5,3738.0
2018-03-11 00:00:00,15.7,2994.0,2.3,3578.0
2018-03-12 00:00:00,8.4,2534.0,1.7,3406.0
2018-03-13 00:00:00,7.2,2151.0,3.0,2873.0
2018-03-14 00:00:00,4.7,2420.0,1.1,2924.0
2018-03-15 00:00:00,5.8,2866.0,1.2,3182.0
2018-03-16 00:00:00,11.0,3165.0,6.1,3337.0
2018-03-17 00:00:00,18.9,3350.0,2.1,3672.0
2018-03-18 00:00:00,12.6,3020.0,1.7,3521.0
2018-03-19 00:00:00,16.9,2395.0,5.8,3433.0
2018-03-20 00:00:00,11.1,2016.0,7.3,3182.0
2018-03-21 00:00:00,11.7,2610.0,3.8,3029.0
2018-03-22 00:00:00,18.4,2441.0,4.8,2673.0
2018-03-23 00:00:00,22.5,3172.0,6.3,3184.0
2018-03-24 00:00:00,47.3,3323.0,22.8,2995.0
2018-03-25 00:00:00,31.8,3444.0,12.0,3105.0
2018-03-26 00:00:00,12.1,3164.0,8.4,2798.0
2018-03-27 00:00:00,12.9,2969.0,9.6,2535.0
2018-03-28 00:00:00,17.4,3018.0,12.2,2688.0
2018-03-29 00:00:00,22.4,2943.0,15.0,2624.0
2018-03-30 00:00:00,20.1,2970.0,6.2,3030.0
2018-03-31 00:00:00,30.3,3485.0,16.0,3383.0
2018-04-01 00:00:00,38.0,3393.0,13.8,3276.0
2018-04-02 00:00:00,11.8,3552.0,10.3,3300.0
2018-04-03 00:00:00,11.0,3024.0,10.3,2789.0
2018-04-04 00:00:00,8.6,2816.0,8.5,2630.0
2018-04-05 00:00:00,9.2,2643.0,4.8,2660.0
2018-04-06 00:00:00,15.8,2972.0,9.8,3109.0
2018-04-07 00:00:00,16.6,3067.0,11.6,2842.0
2018-04-08 00:00:00,15.9,3080.0,11.4,3042.0
2018-04-09 00:00:00,6.7,3059.0,8.2,2696.0
2018-04-10 00:00:00,0.3,2872.0,3.0,2592.0
2018-04-11 00:00:00,1.6,2474.0,4.3,2314.0
2018-04-12 00:00:00,4.8,1181.0,6.8,984.0
2018-04-13 00:00:00,8.5,3103.0,6.0,2561.0
2018-04-14 00:00:00,14.4,3382.0,13.0,2939.0
2018-04-15 00:00:00,15.9,3398.0,16.4,2709.0
2018-04-16 00:00:00,1.3,3031.0,4.7,2614.0
2018-04-17 00:00:00,0.6,2874.0,4.0,2543.0
2018-04-18 00:00:00,3.0,2818.0,2.9,2619.0
2018-04-19 00:00:00,7.4,2902.0,5.8,2646.0
2018-04-20 00:00:00,8.8,3373.0,8.8,2723.0
2018-04-21 00:00:00,20.6,3170.0,9.3,3130.0
2018-04-22 00:00:00,15.6,3352.0,13.5,2978.0
2018-04-23 00:00:00,9.4,3275.0,9.8,2750.0
2018-04-24 00:00:00,2.8,3201.0,4.8,2488.0
2018-04-25 00:00:00,4.0,2967.0,5.0,2687.0
2018-04-26 00:00:00,6.2,3258.0,6.6,2769.0
2018-04-27 00:00:00,14.6,3413.0,9.1,2777.0
2018-04-28 00:00:00,19.2,5473.0,19.0,790.0
2018-04-29 00:00:00,23.7,5764.0,30.6,0.0
2018-04-30 00:00:00,12.3,5759.0,18.1,22.0
2018-05-01 00:00:00,4.4,5617.0,10.2,26.0
2018-05-02 00:00:00,8.6,5510.0,14.4,30.0
2018-05-03 00:00:00,11.4,5308.0,8.7,18.0
2018-05-04 00:00:00,18.2,5550.0,18.1,33.0
2018-05-05 00:00:00,17.2,6359.0,14.9,0.0
2018-05-06 00:00:00,16.1,6283.0,21.9,4.0
2018-05-07 00:00:00,5.0,5822.0,9.1,31.0
2018-05-08 00:00:00,3.7,5265.0,7.9,27.0
2018-05-09 00:00:00,4.6,5373.0,6.6,36.0
2018-05-10 00:00:00,2.8,5588.0,6.0,22.0
2018-05-11 00:00:00,12.5,5941.0,11.7,19.0
2018-05-12 00:00:00,18.4,6035.0,20.0,37.0
2018-05-13 00:00:00,15.3,5220.0,22.7,19.0
2018-05-14 00:00:00,6.4,5754.0,8.9,59.0
2018-05-15 00:00:00,7.0,5198.0,10.6,27.0
2018-05-16 00:00:00,8.6,5611.0,11.7,87.0
2018-05-17 00:00:00,4.7,5711.0,8.6,41.0
2018-05-18 00:00:00,5.1,3906.0,0.0,1864.0
2018-05-19 00:00:00,9.2,3777.0,0.1,2623.0
2018-05-20 00:00:00,17.4,4373.0,1.4,2987.0
2018-05-21 00:00:00,28.6,4783.0,7.4,3538.0
2018-05-22 00:00:00,9.7,3445.0,4.3,2903.0
2018-05-23 00:00:00,15.4,3283.0,2.2,2847.0
2018-05-24 00:00:00,13.1,3418.0,1.7,2946.0
2018-05-25 00:00:00,40.9,3738.0,3.1,2689.0
2018-05-26 00:00:00,82.7,4336.0,2.7,2456.0
2018-05-27 00:00:00,45.0,3687.0,0.7,2687.0
2018-05-28 00:00:00,11.4,2739.0,0.9,2240.0
2018-05-29 00:00:00,10.0,2880.0,3.0,3043.0
2018-05-30 00:00:00,10.0,2720.0,3.3,2813.0
2018-05-31 00:00:00,11.0,2772.0,2.6,2951.0
2018-06-01 00:00:00,10.9,3127.0,1.5,3033.0
2018-06-02 00:00:00,18.1,3574.0,1.8,3336.0
2018-06-03 00:00:00,21.2,3719.0,1.9,3535.0
2018-06-04 00:00:00,7.7,3074.0,1.6,3121.0
2018-06-05 00:00:00,4.9,2819.0,0.6,2991.0
2018-06-06 00:00:00,2.9,2855.0,0.4,3009.0
2018-06-07 00:00:00,12.2,2727.0,3.6,2924.0
2018-06-08 00:00:00,15.8,3015.0,0.9,2987.0
2018-06-09 00:00:00,36.5,3370.0,8.3,3015.0
2018-06-10 00:00:00,23.8,3851.0,2.3,3444.0
2018-06-11 00:00:00,20.7,2960.0,5.1,2941.0
2018-06-12 00:00:00,8.4,2894.0,2.1,2839.0
2018-06-13 00:00:00,7.6,3263.0,2.1,2533.0
2018-06-14 00:00:00,9.1,3189.0,1.5,2956.0
2018-06-15 00:00:00,20.3,3439.0,1.9,3038.0
2018-06-16 00:00:00,34.5,3916.0,5.4,3172.0
2018-06-17 00:00:00,71.1,3246.0,25.0,2619.0
2018-06-18 00:00:00,14.8,3396.0,3.1,3168.0
2018-06-19 00:00:00,5.8,3023.0,0.6,3012.0
2018-06-20 00:00:00,13.3,2934.0,1.1,3072.0
2018-06-21 00:00:00,17.4,2995.0,0.6,3008.0
2018-06-22 00:00:00,16.0,3583.0,0.9,3117.0
2018-06-23 00:00:00,35.0,3733.0,1.2,2979.0
2018-06-24 00:00:00,31.8,4307.0,3.3,3272.0
2018-06-25 00:00:00,16.8,3261.0,3.8,3162.0
2018-06-26 00:00:00,14.7,2755.0,1.9,3032.0
2018-06-27 00:00:00,16.1,2908.0,0.9,3192.0
2018-06-28 00:00:00,7.5,3380.0,1.4,3291.0
2018-06-29 00:00:00,15.4,3523.0,0.3,2878.0
2018-06-30 00:00:00,10.0,4548.0,0.1,2814.0
2018-07-01 00:00:00,12.6,4031.0,0.3,2745.0
2018-07-02 00:00:00,10.5,4859.0,3.0,3659.0
2018-07-03 00:00:00,12.1,3431.0,3.0,3391.0
2018-07-04 00:00:00,5.1,3116.0,0.4,2291.0
2018-07-05 00:00:00,38.8,3570.0,4.9,3448.0
2018-07-06 00:00:00,15.8,4393.0,0.6,3206.0
2018-07-07 00:00:00,28.9,4298.0,5.6,3224.0
2018-07-08 00:00:00,18.5,4360.0,1.4,3571.0
2018-07-09 00:00:00,12.0,3448.0,3.7,3176.0
2018-07-10 00:00:00,10.4,3153.0,1.5,3114.0
2018-07-11 00:00:00,10.7,3399.0,2.0,3163.0
2018-07-12 00:00:00,12.8,3639.0,3.4,3168.0
2018-07-13 00:00:00,5.2,516.0,0.0,242.0
2018-07-14 00:00:00,,,,
2018-07-15 00:00:00,,,,
2018-07-16 00:00:00,12.0,2613.0,0.8,2725.0
2018-07-17 00:00:00,11.1,3096.0,2.8,3104.0
2018-07-18 00:00:00,13.4,3055.0,0.8,3217.0
2018-07-19 00:00:00,13.7,3325.0,0.7,3238.0
2018-07-20 00:00:00,19.8,3763.0,1.2,3200.0
2018-07-21 00:00:00,33.1,4176.0,6.1,3182.0
2018-07-22 00:00:00,15.7,4780.0,1.8,3750.0
2018-07-23 00:00:00,12.7,3984.0,2.0,3568.0
2018-07-24 00:00:00,7.9,3263.0,0.9,3163.0
2018-07-25 00:00:00,11.8,3370.0,4.1,3146.0
2018-07-26 00:00:00,20.6,3421.0,4.1,3077.0
2018-07-27 00:00:00,14.2,4281.0,1.1,3366.0
2018-07-28 00:00:00,15.9,4157.0,1.9,3320.0
2018-07-29 00:00:00,9.6,4397.0,1.2,3643.0
2018-07-30 00:00:00,7.2,3811.0,1.0,3435.0
2018-07-31 00:00:00,13.1,3240.0,0.8,3291.0
2018-08-01 00:00:00,7.3,3459.0,1.0,3392.0
2018-08-02 00:00:00,11.1,3594.0,1.5,3137.0
2018-08-03 00:00:00,17.2,4086.0,0.4,2810.0
2018-08-04 00:00:00,14.9,4231.0,1.6,2475.0
2018-08-05 00:00:00,20.4,5226.0,1.8,3299.0
2018-08-06 00:00:00,14.5,5532.0,4.5,3964.0
2018-08-07 00:00:00,9.4,744.0,0.1,487.0
2018-08-08 00:00:00,13.4,2678.0,0.6,2729.0
2018-08-09 00:00:00,11.2,3617.0,1.1,3345.0
2018-08-10 00:00:00,21.5,3934.0,0.9,3245.0
2018-08-11 00:00:00,42.8,4144.0,1.5,3319.0
2018-08-12 00:00:00,28.7,3904.0,5.7,3336.0
2018-08-13 00:00:00,16.2,3516.0,2.4,3331.0
2018-08-14 00:00:00,11.9,3161.0,1.1,3240.0
2018-08-15 00:00:00,11.9,3284.0,1.4,3276.0
2018-08-16 00:00:00,8.5,3599.0,1.1,3326.0
2018-08-17 00:00:00,11.7,4191.0,2.0,3183.0
2018-08-18 00:00:00,17.4,4652.0,0.7,3437.0
2018-08-19 00:00:00,19.3,4377.0,2.9,3560.0
2018-08-20 00:00:00,18.7,3420.0,2.7,3394.0
2018-08-21 00:00:00,6.0,3352.0,0.5,3157.0
2018-08-22 00:00:00,4.9,3343.0,0.2,3183.0
2018-08-23 00:00:00,9.3,3471.0,0.9,3201.0
2018-08-24 00:00:00,15.0,4074.0,1.4,3182.0
2018-08-25 00:00:00,21.3,4575.0,1.6,3422.0
2018-08-26 00:00:00,22.0,4663.0,3.8,3595.0
2018-08-27 00:00:00,8.6,3872.0,1.1,3547.0
2018-08-28 00:00:00,2.8,3512.0,1.6,3121.0
2018-08-29 00:00:00,10.2,3368.0,1.1,3316.0
2018-08-30 00:00:00,8.9,3591.0,0.2,3446.0
2018-08-31 00:00:00,21.2,4555.0,0.7,3265.0
2018-09-01 00:00:00,24.6,5128.0,2.7,3344.0
2018-09-02 00:00:00,22.8,4789.0,1.7,3470.0
2018-09-03 00:00:00,7.8,4786.0,1.3,3635.0
2018-09-04 00:00:00,7.4,3271.0,0.9,3443.0
2018-09-05 00:00:00,3.3,2826.0,0.8,3323.0
2018-09-06 00:00:00,1.8,2937.0,1.1,3336.0
2018-09-07 00:00:00,1.2,3410.0,0.4,3040.0
2018-09-08 00:00:00,4.7,4330.0,0.4,3433.0
2018-09-09 00:00:00,8.9,4498.0,1.1,3380.0
2018-09-10 00:00:00,2.2,2859.0,0.6,3030.0
2018-09-11 00:00:00,0.4,2628.0,0.9,2733.0
2018-09-12 00:00:00,5.5,2442.0,1.7,2907.0
2018-09-13 00:00:00,2.5,2840.0,1.5,2973.0
2018-09-14 00:00:00,9.8,3278.0,0.6,3187.0
2018-09-15 00:00:00,9.4,3876.0,0.8,3300.0
2018-09-16 00:00:00,23.4,2932.0,2.1,3187.0
2018-09-17 00:00:00,2.5,2821.0,0.2,3120.0
2018-09-18 00:00:00,1.2,2611.0,0.6,2924.0
2018-09-19 00:00:00,1.9,2538.0,0.9,2893.0
2018-09-20 00:00:00,6.8,2617.0,3.4,2701.0
2018-09-21 00:00:00,14.8,3266.0,3.2,2911.0
2018-09-22 00:00:00,13.5,3421.0,0.2,3438.0
2018-09-23 00:00:00,13.4,3807.0,1.9,3484.0
2018-09-24 00:00:00,9.2,2995.0,1.7,3115.0
2018-09-25 00:00:00,1.2,2693.0,0.0,2841.0
2018-09-26 00:00:00,2.9,2374.0,0.1,2986.0
2018-09-27 00:00:00,7.1,2557.0,4.8,2777.0
2018-09-28 00:00:00,16.3,2926.0,1.9,3190.0
2018-09-29 00:00:00,6.7,4311.0,0.6,3608.0
2018-09-30 00:00:00,15.3,3411.0,3.1,3244.0
2018-10-01 00:00:00,4.1,2902.0,0.4,3106.0
2018-10-02 00:00:00,6.4,2546.0,1.8,2883.0
2018-10-03 00:00:00,0.4,2530.0,0.5,2961.0
2018-10-04 00:00:00,3.3,2593.0,1.0,3135.0
2018-10-05 00:00:00,11.0,3133.0,2.2,3030.0
2018-10-06 00:00:00,10.9,3723.0,0.7,3279.0
2018-10-07 00:00:00,8.3,3573.0,1.1,2923.0
2018-10-08 00:00:00,7.0,4110.0,2.5,3628.0
2018-10-09 00:00:00,0.8,2787.0,0.5,3076.0
2018-10-10 00:00:00,1.1,2554.0,0.2,3154.0
2018-10-11 00:00:00,0.4,2928.0,0.3,3363.0
2018-10-12 00:00:00,7.5,3343.0,0.1,3460.0
2018-10-13 00:00:00,10.6,3958.0,1.8,3537.0
2018-10-14 00:00:00,5.1,3661.0,1.6,3630.0
2018-10-15 00:00:00,1.6,2696.0,0.6,3272.0
2018-10-16 00:00:00,0.8,2626.0,0.9,2895.0
2018-10-17 00:00:00,1.2,2435.0,0.3,2936.0
2018-10-18 00:00:00,1.2,2765.0,0.3,3178.0
2018-10-19 00:00:00,13.0,3227.0,1.4,3467.0
2018-10-20 00:00:00,13.6,3755.0,0.8,3742.0
2018-10-21 00:00:00,13.7,3229.0,3.7,3638.0
2018-10-22 00:00:00,7.2,2787.0,2.0,3285.0
2018-10-23 00:00:00,1.8,2580.0,0.9,3203.0
2018-10-24 00:00:00,0.0,75.0,,1.0
2018-10-25 00:00:00,,,,
2018-10-26 00:00:00,,,,
2018-10-27 00:00:00,,,,
2018-10-28 00:00:00,,,,
2018-10-29 00:00:00,2.1,1829.0,0.3,2584.0
2018-10-30 00:00:00,1.4,2099.0,0.7,2736.0
2018-10-31 00:00:00,0.4,458.0,0.0,466.0
2018-11-01 00:00:00,4.3,1683.0,0.2,2337.0
2018-11-02 00:00:00,4.5,3102.0,0.6,3175.0
2018-11-03 00:00:00,6.0,3487.0,0.7,3164.0
2018-11-04 00:00:00,6.7,3456.0,0.3,3462.0
2018-11-05 00:00:00,0.3,2645.0,0.7,2935.0
2018-11-06 00:00:00,0.6,2110.0,0.3,2557.0
2018-11-07 00:00:00,1.0,2159.0,0.9,2784.0
2018-11-08 00:00:00,1.6,2472.0,2.2,2619.0
2018-11-09 00:00:00,6.6,2945.0,0.3,2919.0
2018-11-10 00:00:00,15.0,3529.0,1.3,3216.0
2018-11-11 00:00:00,7.3,3765.0,0.9,3019.0
2018-11-12 00:00:00,6.3,4200.0,2.5,3683.0
2018-11-13 00:00:00,0.1,2650.0,0.3,2848.0
2018-11-14 00:00:00,0.9,2233.0,0.2,2720.0
2018-11-15 00:00:00,0.9,2259.0,0.3,2693.0
2018-11-16 00:00:00,9.1,3188.0,1.7,3074.0
2018-11-17 00:00:00,8.0,3972.0,2.0,3265.0
2018-11-18 00:00:00,3.7,3163.0,1.5,2983.0
2018-11-19 00:00:00,1.6,2637.0,0.4,2841.0
2018-11-20 00:00:00,3.3,2449.0,1.2,2813.0
2018-11-21 00:00:00,9.8,3207.0,0.8,2996.0
2018-11-22 00:00:00,19.0,2712.0,0.9,2012.0
2018-11-23 00:00:00,5.4,3639.0,1.4,2608.0
2018-11-24 00:00:00,3.5,3542.0,1.6,3088.0
2018-11-25 00:00:00,4.3,3325.0,1.8,3066.0
2018-11-26 00:00:00,2.1,2157.0,0.3,2739.0
2018-11-27 00:00:00,0.8,2045.0,0.4,2735.0
2018-11-28 00:00:00,1.3,2050.0,0.4,2822.0
2018-11-29 00:00:00,3.6,2305.0,0.4,3078.0
2018-11-30 00:00:00,7.8,2547.0,1.5,3076.0
2018-12-01 00:00:00,4.9,3445.0,2.2,3444.0
2018-12-02 00:00:00,7.1,3052.0,2.2,3338.0
2018-12-03 00:00:00,1.7,2632.0,2.3,3074.0
2018-12-04 00:00:00,0.4,2198.0,0.7,2880.0
2018-12-05 00:00:00,0.6,2195.0,0.6,2923.0
2018-12-06 00:00:00,4.0,2322.0,0.6,3104.0
2018-12-07 00:00:00,7.7,3122.0,3.1,3317.0
2018-12-08 00:00:00,11.8,2845.0,3.6,3213.0
2018-12-09 00:00:00,6.9,2723.0,3.8,2779.0
2018-12-10 00:00:00,0.9,2543.0,0.8,3130.0
2018-12-11 00:00:00,0.5,2268.0,0.5,2860.0
2018-12-12 00:00:00,0.3,2314.0,0.5,3017.0
2018-12-13 00:00:00,1.5,2360.0,0.7,2713.0
2018-12-14 00:00:00,8.1,2863.0,0.7,3087.0
2018-12-15 00:00:00,5.2,3569.0,0.8,3726.0
2018-12-16 00:00:00,7.5,3351.0,1.5,3139.0
2018-12-17 00:00:00,7.5,2524.0,1.9,3238.0
2018-12-18 00:00:00,1.5,2404.0,1.1,3114.0
2018-12-19 00:00:00,8.4,2627.0,1.3,3310.0
2018-12-20 00:00:00,5.0,2616.0,0.6,2908.0
2018-12-21 00:00:00,12.3,3462.0,3.3,3633.0
2018-12-22 00:00:00,17.1,3561.0,4.3,3366.0
2018-12-23 00:00:00,6.8,3693.0,0.5,2950.0
2018-12-24 00:00:00,9.7,3090.0,0.9,2467.0
2018-12-25 00:00:00,6.1,1951.0,0.4,1149.0
2018-12-26 00:00:00,13.0,3382.0,0.0,2083.0
2018-12-27 00:00:00,22.2,3427.0,0.4,2973.0
2018-12-28 00:00:00,20.1,3609.0,2.4,2805.0
2018-12-29 00:00:00,17.1,3675.0,0.2,2867.0
2018-12-30 00:00:00,13.0,4150.0,0.4,2809.0
2018-12-31 00:00:00,11.8,2956.0,0.1,2551.0
2019-01-01 00:00:00,7.8,2782.0,1.0,2083.0
2019-01-02 00:00:00,11.8,2642.0,2.7,2763.0
2019-01-03 00:00:00,6.3,2503.0,0.7,2469.0
2019-01-04 00:00:00,12.2,2717.0,2.8,3026.0
2019-01-05 00:00:00,5.0,3310.0,0.9,3118.0
2019-01-06 00:00:00,5.4,2631.0,0.6,2717.0
2019-01-07 00:00:00,0.1,2126.0,0.1,2694.0
2019-01-08 00:00:00,1.8,1751.0,0.7,2342.0
2019-01-09 00:00:00,2.0,1733.0,0.9,2409.0
2019-01-10 00:00:00,5.5,1963.0,3.2,2393.0
2019-01-11 00:00:00,6.5,2649.0,2.1,2840.0
2019-01-12 00:00:00,2.6,3234.0,0.8,3324.0
2019-01-13 00:00:00,0.9,2670.0,0.8,2389.0
2019-01-14 00:00:00,0.3,2124.0,0.1,2591.0
2019-01-15 00:00:00,1.6,1819.0,0.6,2396.0
2019-01-16 00:00:00,0.6,1865.0,0.2,2414.0
2019-01-17 00:00:00,7.0,1916.0,1.4,2514.0
2019-01-18 00:00:00,23.0,3077.0,2.6,2948.0
2019-01-19 00:00:00,12.1,3911.0,2.3,3404.0
2019-01-20 00:00:00,7.5,3272.0,2.0,2951.0
2019-01-21 00:00:00,3.9,2111.0,0.3,2527.0
2019-01-22 00:00:00,0.0,1769.0,0.0,2282.0
2019-01-23 00:00:00,0.6,1927.0,0.0,2517.0
2019-01-24 00:00:00,2.4,2222.0,0.1,2563.0
2019-01-25 00:00:00,7.5,2684.0,2.4,2868.0
2019-01-26 00:00:00,6.0,3203.0,1.6,3208.0
2019-01-27 00:00:00,12.4,2773.0,2.7,3132.0
2019-01-28 00:00:00,2.6,2273.0,0.3,2712.0
2019-01-29 00:00:00,0.1,1879.0,0.1,2447.0
2019-01-30 00:00:00,,,,
2019-01-31 00:00:00,,,,
2019-02-01 00:00:00,18.2,2144.0,0.4,2344.0
2019-02-02 00:00:00,8.7,3156.0,1.0,3397.0
2019-02-03 00:00:00,3.6,2460.0,0.2,2468.0
2019-02-04 00:00:00,1.6,1722.0,0.4,2244.0
2019-02-05 00:00:00,0.7,1822.0,0.5,2383.0
2019-02-06 00:00:00,1.2,1971.0,1.6,2500.0
2019-02-07 00:00:00,2.9,2327.0,0.2,2818.0
2019-02-08 00:00:00,4.6,2276.0,0.0,2379.0
2019-02-09 00:00:00,3.4,2245.0,0.8,2779.0
2019-02-10 00:00:00,5.0,2238.0,1.7,2247.0
2019-02-11 00:00:00,1.6,1266.0,0.3,1191.0
2019-02-12 00:00:00,0.0,860.0,0.0,931.0
2019-02-13 00:00:00,0.7,1503.0,0.3,1970.0
